idx,Cluster
467,4
474,4
477,4
479,4
487,4
488,4
490,4
491,4
496,4
497,4
498,4
500,4
502,4
504,4
506,4
507,4
514,4
515,4
516,4
517,4
521,4
525,4
527,4
530,4
531,4
532,4
534,4
535,4
538,4
547,4
548,4
550,4
557,4
558,4
560,4
562,4
563,4
565,4
567,4
569,4
581,4
587,4
638,4
644,4
656,4
657,4
659,4
664,4
667,4
674,4
675,4
677,4
679,4
680,4
687,4
689,4
691,4
708,4
712,4
713,4
714,4
715,4
717,4
718,4
719,4
725,4
726,4
730,4
731,4
733,4
740,4
741,4
743,4
745,4
746,4
748,4
749,4
750,4
754,4
756,4
759,4
762,4
763,4
764,4
765,4
766,4
768,4
770,4
781,4
784,4
788,4
802,4
807,4
828,4
830,4
835,4
836,4
837,4
838,4
842,4
843,4
849,4
850,4
854,4
856,4
857,4
859,4
863,4
864,4
868,4
870,4
871,4
872,4
874,4
878,4
880,4
881,4
882,4
883,4
884,4
885,4
887,4
893,4
894,4
895,4
897,4
898,4
911,4
916,4
923,4
924,4
926,4
930,4
936,4
951,4
955,4
956,4
957,4
959,4
960,4
964,4
968,4
972,4
977,4
978,4
983,4
984,4
986,4
987,4
989,4
992,4
995,4
996,4
997,4
999,4
1000,4
1005,4
1016,4
1042,4
1043,4
1044,4
1045,4
1046,4
1047,4
1051,4
1053,4
1059,4
1060,4
1061,4
1062,4
1066,4
1069,4
1075,4
1076,4
1077,4
1078,4
1081,4
1082,4
1084,4
1085,4
1087,4
1088,4
1089,4
1090,4
1091,4
1092,4
1097,4
1098,4
1099,4
60,5
63,5
84,5
91,5
101,5
105,5
114,5
143,5
195,5
197,5
203,5
205,5
207,5
237,5
253,5
259,5
271,5
316,5
318,5
319,5
328,5
341,5
360,5
361,5
370,5
389,5
391,5
475,5
480,5
489,5
492,5
511,5
518,5
539,5
544,5
546,5
549,5
566,5
570,5
571,5
584,5
603,5
616,5
618,5
620,5
621,5
622,5
628,5
630,5
633,5
634,5
635,5
757,5
792,5
809,5
819,5
821,5
824,5
826,5
832,5
839,5
840,5
846,5
848,5
851,5
867,5
891,5
908,5
920,5
921,5
925,5
958,5
963,5
974,5
981,5
990,5
993,5
1083,5
76,6
231,6
233,6
234,6
240,6
246,6
297,6
299,6
302,6
321,6
329,6
332,6
364,6
367,6
369,6
371,6
375,6
379,6
396,6
400,6
459,6
460,6
462,6
468,6
482,6
486,6
494,6
499,6
505,6
519,6
520,6
522,6
526,6
528,6
529,6
533,6
540,6
553,6
554,6
564,6
720,6
728,6
778,6
782,6
786,6
790,6
796,6
803,6
814,6
817,6
818,6
820,6
823,6
831,6
833,6
841,6
845,6
862,6
873,6
875,6
889,6
892,6
896,6
900,6
901,6
906,6
914,6
922,6
927,6
954,6
967,6
976,6
991,6
1002,6
1015,6
1020,6
1033,6
1036,6
5,7
